Record_Type,Current_Location,Animal_Name,Age,Animal_Gender,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,Memo,animal_type,Animal_Breed,id
LOST,LOST,Moose,Under 1 year<p/>,Male,Unknown,2-Jul-25,Date Lost,VAN  DE VANTER,,WA,,"Description: Small Chihuahua/pug / Beagle mix cream with white stripe between eyes small maybe 7-8 pounds long tail floppy ears <p/>Age: Under 1 year<p/>Location Lost: Van de vanter , Kent WA  98030<p/>Lost Date: 2025-07-02<p/>",Dog,Chihuahua - Smooth Coated,731427
LOST,LOST,Zorro,Over 1 year<p/>,Male,Black,3-Jul-25,Date Lost,263RD  ST,,WA,,"Description: Long haired black white and some brown is friendly to anyone  <p/>Age: Over 1 year<p/>Location Lost: 263rd St, Kent WA  98032<p/>Lost Date: 2025-07-03<p/>",Dog,Alaskan Husky,731439
LOST,LOST,Yuna,Over 1 year<p/>,Female,White,3-Jul-25,Date Lost,14400 block of  Juanita Dr NE,Kenmore,WA,98028,"Description: Black and white mid sized dog Lost near St Edwards state park<p/>Age: Over 1 year<p/>Location Lost: 14445 Juanita Dr NE, Kenmore, WA 98028, Kenmore WA  98028<p/>Lost Date: 2025-07-03<p/>",Dog,Bluetick Hound,731440
LOST,LOST,Zorro,Over 1 year<p/>,Male,Black,3-Jul-25,Date Lost,263RD  ST,,WA,,"<p/>Age: Over 1 year<p/>Location Lost: 263rd St, Kent WA  98032<p/>Lost Date: 2025-07-03<p/>",Dog,Alaskan Husky,731441
FOUND,In Public Home,Amelia Seter,Unknown<p/>,Unknown,Unknown,3-Jul-25,Date Found,98030 98030,,WA,98030,"<p/>Age: Unknown<p/>Found Near: 125th Ave se 270th , Kent WA  98030<p/>Found Date: 2025-07-03<p/>",Dog,Standard Poodle,731444
FOUND,In Public Home,Unknown,Unknown<p/>,Unknown,Unknown,3-Jul-25,Date Found,120th  Ave NE & NE 5th St,Bellevue,WA,98005,"Description: tannish grey/orange/white mixed fur, white/orange spot of fur next to eye, green eyes, grey collar<p/>Age: Unknown<p/>Found Near: 120th Ave NE and NE 5th St, Bellevue WA  98005<p/>Found Date: 2025-07-03<p/>",Cat,Domestic Shorthair,731445
LOST,LOST,Cinder,Over 1 year<p/>,Female,Black,3-Jul-25,Date Lost,27600 block of  123RD AVE SE,Kent,WA,98030,"Description: She is a small black Shih Tzu with short clipped body and long topknot and tail. She has an underbite. May be wearing hair in a red bow. She wasn't wearing a collar.<p/>Age: Over 1 year<p/>Location Lost: 27622 123rd Ave SE, Kent WA  98030<p/>Lost Date: Jul  3 202<p/>",Dog,Shih Tzu,731446
LOST,LOST,Goose,Over 1 year<p/>,Female,Black,3-Jul-25,Date Lost,SE  170th St & 194th Ave SE,King County,WA,98058,"Description: Solid Black cat, bright green eyes with all white whiskers. She has small ears compared to her body size<p/>Age: Over 1 year<p/>Location Lost: SE 170th st and 194th st SE, Renton WA  98058<p/>Lost Date: 2025-07-03<p/>",Cat,American Shorthair,731447
LOST,LOST,Penelope,Under 1 year<p/>,Female,Unknown,27-Jun-25,Date Lost,244th  Ave SE & SE 392nd St,King County,WA,98022,"Description: Talico Cat<p/>Age: Under 1 year<p/>Location Lost: 244th Ave SE and SE 392nd St. , Enumclaw WA  98022<p/>Lost Date: 2025-06-27<p/>",Cat,American Shorthair,731448
LOST,LOST,Bisha Or Bix,Under 1 year<p/>,Female,Unknown,3-Jul-25,Date Lost,10th  Ave SW & 10th Pl SW,Federal Way,WA,98023,"Description: She is about 35 lbs and has a bindle pattern. One ear semi-erect. <p/>Age: Under 1 year<p/>Location Lost: 10th Ave SW and 10th PL SW, Seattle WA  98106<p/>Lost Date: 2025-07-03<p/>",Dog,Dutch Shepherd,731449
LOST,LOST,Zodi,Over 1 year<p/>,Male,Unknown,4-Jul-25,Date Lost,NE  36th St & 92nd Ave NE,Yarrow Point,WA,98004,"Description: Small gray dog, about 20 lbs. very unique. Looks like a koala or an Ewok. <p/>Age: Over 1 year<p/>Location Lost: nE 36th st and 92nd ave ne, Bellevue WA  98004<p/>Lost Date: 2025-07-04<p/>",Dog,Pomeranian,731455
LOST,LOST,Kendall,Unknown<p/>,Male,Unknown,4-Jul-25,Date Lost,151st  Ave SE & SE 49th St,Bellevue,WA,98006,"Description: This seems to be a Wheaton terrier? He showed up at our house scared and confused and alone. He is wearing a harness , does not seem to be microchipped<p/>Age: Unknown<p/>Location Lost: 151st ave se and se 49th st, Bellevue WA  98006<p/>Lost Date: 2025-07-04<p/>",Dog,Welsh Terrier,731474
LOST,LOST,Dash,Over 1 year<p/>,Male,Unknown,25-Jun-25,Date Lost,98042 98042,,WA,98042,"Description: Gray, black and white striped tabby. 11 years old. No collar. <p/>Age: Over 1 year<p/>Location Lost: 297th st, Kent WA  98042<p/>Lost Date: 2025-06-25<p/>",Cat,American Shorthair,731475
LOST,LOST,Fergus,Over 1 year<p/>,Male,Unknown,4-Jul-25,Date Lost,38th  Ave S & S 249th St,Kent,WA,98032,"Description: Red and White. Has chip. 15 years old.  One ear damaged.   Left side partially shaved from recent surgery.<p/>Age: Over 1 year<p/>Location Lost: 38th St South and 249th St, Kent WA  98032<p/>Lost Date: 2025-07-04<p/>",Dog,Pembroke Welsh Corgi,731477
FOUND,In Public Home,Cinna,Over 1 year<p/>,Male,Unknown,4-Jul-25,Date Found,1200 block of  S PUGET DR,Renton,WA,98055,Description: Name Is cinna. Owners were contacted through the microchip company (24 hour pet watch). Just under 12 years old. <p/>microchip # 0A13535253<p/>Unable to contact owners.<p/>My friend is keeping him for a day before bringing him to raskc.<p/>Anyone missing this dog? <p/>Found at heritage Hill apartments in Renton. 1250 S Puget Dr.<p/>Looks like it has a cut under its chin (you can see some drops of blood in the photo on the front paw.<p/>Friendly. <p/>No collar.<p/>Age: Over 1 year<p/>Found Near: 1200 block of  S PUGET DR<p/>Found Date: 2025-07-04<p/>,Dog,Pit Bull,731489
FOUND,In Public Home,Blazer,Unknown<p/>,Male,Unknown,4-Jul-25,Date Found,151st  Ave SE & SE 49th St,Bellevue,WA,98006,"Description: This seems to be a Wheaton or Norfolk terrier? He showed up at our house scared and alone He is wearing a harness , microchip says name is Blazer<p/>Age: Unknown<p/>Found Near: 151st ave se and se 49th st, Bellevue WA  98006<p/>Found Date: 2025-07-04<p/>",Dog,Norfolk Terrier,731498
ADOPTABLE,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ronny,3 YEARS,Neutered Male,Sable / White,5-Jul-25,Received on,,,WA,,"Received on: 2025-07-05<p/> Description: Sable / White<p/>  Neutered Male Pit Bull Dog<p/> Age: 3 YEARS<p/> Adoption Fee: $30<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Ronny and I am available for adoption.<p/><p/>I am treat motivated and already know how to sit! Pretty impressive, right? I am eager to keep learning and love when you cheer me on with snacks and praise.<p/><p/>Affectionate by nature, I like to be close to my people. Whether we are going for a walk or just relaxing on the couch, Im all in. Ive got the perfect balance of playful energy and calm cuddles.<p/><p/>I would do best in a calm, quiet home where I can feel safe and loved. If youre looking for a loyal companion whos ready to learn, love, and lounge by your side, I might just be your guy.<p/><p/>I weigh 66.7 lbs and am considered a `large breed` dog.<p/>",Dog,Pit Bull,731503
FOUND,In Public Home,Simon,Under 1 year<p/>,Male,Unknown,5-Jul-25,Date Found,13200 block of  SE EASTGATE WAY,Bellevue,WA,98005,Description: Grey<p/>Age: Under 1 year<p/>Found Near: 13200 block of  SE EASTGATE WAY<p/>Found Date: 2025-07-05<p/>,Cat,Domestic Shorthair,731507
LOST,LOST,Sampson,Under 1 year<p/>,Male,Unknown,1-Jul-25,Date Lost,SE  220th Ct & 120th Ave SE,Kent,WA,98031,"Description: Buff light orange tabby, fluffy tummy, slender build. About 9 months old almost full grown. Unneutered male<p/>Age: Under 1 year<p/>Location Lost: 220th and 120th Ave se, Kent WA  98031<p/>Lost Date: 2025-07-01<p/>",Cat,Domestic Mediumhair,731509
LOST,LOST,Roxy,Over 1 year<p/>,Female,Brown,5-Jul-25,Date Lost,18400 block of  SE 212TH ST,,WA,98058,"Description: Pug/wiener mix. Blonde/fawn. Color. Cricket teeth.<p/>Age: Over 1 year<p/>Location Lost: 18432 se 212th st, Renton WA  98058<p/>Lost Date: 2025-07-05<p/>",Dog,Pug,731513
LOST,LOST,Artie,Over 1 year<p/>,Male,Black,5-Jul-25,Date Lost,6000 block of  FAUNTLEROY WAY SW,POTENTIAL SIGHTING AT,WA,,"Description: Black and White, 15Lbs, Red Collar with Tag, Named Artie. Big Bunny Ears.<p/>Age: Over 1 year<p/>Location Lost: 6053 Fauntleroy Way SW, Potential Sighting at 35th , Seattle WA  98136<p/>Lost Date: 2025-07-05<p/>",Dog,Rat Terrier,731514
LOST,LOST,Michi,Over 1 year<p/>,Female,Black,25-Jun-25,Date Lost,2900 block of  AUBURN WAY SOUTH,NEAR DOGWOOD ST SE & ELM ST SE INTERSE,WA,,"Description: Black and White Domestic Short Hair Tuxedo Female Cat, 1 year and 9 months, weighs 3.2kg, White mittens and socks and a moustache, a single black spot connected to her chin and back left leg, a small scar on her ear pretty shy but friendly. Full name is Clover but her nickname is Michi.<p/>Age: Over 1 year<p/>Location Lost: 2901 Auburn Way South , near Dogwood St SE & Elm St SE intersection, Auburn WA  98092<p/>Lost Date: 2025-06-25<p/>",Cat,Domestic Shorthair,731515
LOST,LOST,Artie,Over 1 year<p/>,Male,Black,5-Jul-25,Date Lost,6000 block of  FAUNTLEROY WAY SW,POTENTIAL SIGHTING AT,WA,,"Description: Black and White, 15Lbs, Red Collar with Tag, Named Artie. Big Bunny Ears.<p/>Age: Over 1 year<p/>Location Lost: 6053 Fauntleroy Way SW, Potential Sighting at 35th , Seattle WA  98136<p/>Lost Date: 2025-07-05<p/>",Dog,Rat Terrier,731516
LOST,LOST,Roxy,Over 1 year<p/>,Female,Brown,5-Jul-25,Date Lost,18400 block of  SE 212TH ST,,WA,98058,"Description: Pug/wiener mix. Blonde/fawn. Color. Cricket teeth.<p/>Age: Over 1 year<p/>Location Lost: 18432 se 212th st, Renton WA  98058<p/>Lost Date: 2025-07-05<p/>",Dog,Pug,731517
LOST,LOST,Pearl,Over 1 year<p/>,Female,Black,3-Jul-25,Date Lost,25800 block of  114TH PL SE,Kent,WA,98030,"<p/>Age: Over 1 year<p/>Location Lost: 25815 114TH PL SE APT D101, Kent WA  98030<p/>Lost Date: 2025-07-03<p/>",Cat,Domestic Shorthair,731518
LOST,LOST,Sox,Over 1 year<p/>,Male,Brown,3-Jul-25,Date Lost,30900 block of  26TH AVE S,Federal Way,WA,98003,"Description: Sox is a brown and white pit mix with an under belly with black spots white tip tail and lock like he is wearing tube socks. He has a mostly black nose with some pick with a random black sot all his toe beans are white he has a choker on that look like a normal black collar and part chain collar <p/>Age: Over 1 year<p/>Location Lost: 30921 26th ave s, Federal Way WA  98003<p/>Lost Date: 2025-07-03<p/>",Dog,Pit Bull,731519
LOST,LOST,Sonya,Over 1 year<p/>,Female,Unknown,1-Jul-25,Date Lost,27400 block of  212TH PL SE,Maple Valley,WA,98038,"Description: Smaller female 1.5 year old cat. Tabby gray.<p/>Age: Over 1 year<p/>Location Lost: 27436 212th Place Southeast, Maple Valley WA  98038<p/>Lost Date: 2025-07-01<p/>",Cat,Domestic Shorthair,731521
LOST,LOST,Raven,Over 1 year<p/>,Male,Unknown,5-Jul-25,Date Lost,S.  272ND STREET,,WA,,"Description: Raven is an indoor cat who may or may not come with his name. He is very cautious with strangers.<p/>Age: Over 1 year<p/>Location Lost: S. 272nd street, Kent WA  98032<p/>Lost Date: 2025-07-05<p/>",Cat,Domestic Shorthair,731525
FOUND,In Public Home,,Unknown<p/>,Male,Black,6-Jul-25,Date Found,Thornton  Creek Park at NE 130th,,WA,,"<p/>Age: Unknown<p/>Found Near: 130th & 9th NE, Bellevue WA  98005<p/>Found Date: 2025-07-06<p/>",Dog,Miniature Poodle,731546
LOST,LOST,Carole,Over 1 year<p/>,Female,Brown,6-Jul-25,Date Lost,SE  45th St & 167th Ave SE,Bellevue,WA,98027,"Description: Chocolate brown with brown eyes<p/>Age: Over 1 year<p/>Location Lost: 45th And 167 Ave SE, Bellevue WA  98006<p/>Lost Date: 2025-07-06<p/>",Dog,Australian Kelpie,731550
LOST,LOST,Michi,Over 1 year<p/>,Female,Unknown,25-Jun-25,Date Lost,2900 block of  AUBURN WAY S,Auburn,WA,98092,"Description: Tuxedo Cat, White mittens and legs and a white mustache, black spot behind her left leg and chin, 1 year old and 9 months, not yet microchipped, Shy hut friendly, weighs 3.2kg. Last seen at 2901 Auburn Way South near Sherwood Gardens Apartments neighborhood near the intersection of Dogwood St SE and Elm St SE.<p/>Age: Over 1 year<p/>Location Lost: 2901 Auburn Way South, Auburn WA  98092<p/>Lost Date: 2025-06-25<p/>",Cat,Domestic Shorthair,731552
FOUND,In Public Home,,Under 1 year<p/>,Male,Unknown,7-Jul-25,Date Found,1200 block of  A ST NE,Auburn,WA,98002,"Description: White with black fur around the eyes, has more black patches on back. Found with a red collar and attached with a makeshift leash. Looks to be a puppy maybe a year old<p/>Age: Under 1 year<p/>Found Near: 1200 block of  A ST NE<p/>Found Date: 2025-07-07<p/>",Dog,Rat Terrier,731591
LOST,LOST,Phantom Of T,Over 1 year<p/>,Male,Black,1-Jul-25,Date Lost,164th  Ave NE & NE 2nd St,Bellevue,WA,98008,"Description: All black neutered male cat with a very little white on lower belly, Med to large size but very lanky. yellow eyes, Lost wearing a collar with a bell and a tag reading: ""caution I drool  2064786201"" <p/>Age: Over 1 year<p/>Location Lost: 164th ave ne and NE 2nd, Bellevue WA  98008<p/>Lost Date: Jul  1 202<p/>",Cat,Domestic Longhair,731597
ADOPTABLE,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Lawson,4 MONTHS,Neutered Male,Brn Tabby,7-Jul-25,Received on,,,WA,,"Received on: 2025-07-07<p/> Description: Brn Tabby<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 4 MONTHS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Lawson and I am available for adoption.<p/><p/>I was brought to RASKC on July 7, 2025. I had ringworm when I arrived so I needed to go into isolation for treatment. After a long couple of months I am now ready to be adopted :)<p/><p/>Honestly there isn't much to say about me because I am wonderful! I LOVE to be craddled in your arms, be pet and play. If you have been wanting a cuddly kitten I can be what you're looking for!<p/><p/>I am an adaptable kitten who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",Cat,Domestic Shorthair,731603
LOST,LOST,Beans,Over 1 year<p/>,Female,Brown,6-Jul-25,Date Lost,4600 block of  FOREST AVE SE,Mercer Island,WA,98040,"Description: She is a dark siamese with white feet, very shy, does not have any collar and is not used to be outside.<p/>Age: Over 1 year<p/>Location Lost: 4646 Forest Avenue SE, Mercer Island WA  98040<p/>Lost Date: Jul  6 202<p/>",Cat,Siamese,731618
LOST,LOST,Tisha (teesh,Over 1 year<p/>,Unknown,Unknown,6-Jul-25,Date Lost,SE  20th St & 137th Pl SE,Bellevue,WA,98005,"Description: Yellow cockatiel with grey spots on shoulders/wings. She can sound a bit like a robin from a distance, but she's distinctly sharper and without sing-song.<p/>Age: Over 1 year<p/>Location Lost: SE 20th and 137 Pl SE, Bellevue WA  98005<p/>Lost Date: 2025-07-06<p/>",Bird,,731619
LOST,LOST,Max,Over 1 year<p/>,Male,Unknown,4-Jul-25,Date Lost,151ST  PL SW LYNNWOOD,,WA,,"Description: He’s white and brown. He has a white spot on top of his head/face kind of looks like a Mohawk. <p/>Age: Over 1 year<p/>Location Lost: 151st PL SW LYNNWOOD, Lynnwood WA  98087<p/>Lost Date: 2025-07-04<p/>",Dog,Shih Tzu,731624
LOST,LOST,Solaire,Over 1 year<p/>,Male,Unknown,7-Jul-25,Date Lost,120th  Ave SE & SE 244th St,Kent,WA,98030,"Description: Orange and white tabby cat with a faint black freckle on his left ear. <p/>Age: Over 1 year<p/>Location Lost: 120th Ave SE and SE 244 St, Kent WA  98030<p/>Lost Date: 2025-07-07<p/>",Cat,Domestic Shorthair,731627
LOST,LOST,Remi,Over 1 year<p/>,Female,Unknown,7-Jul-25,Date Lost,,,WA,,"Description: Blonde brindle, red and black collar<p/>Age: Over 1 year<p/>Location Lost: 27250 207th AVE SE Maple Valley WA, Maple Valley WA  98038<p/>Lost Date: 2025-07-07<p/>",Dog,Pit Bull,731634
LOST,LOST,Charlie,Over 1 year<p/>,Female,Unknown,4-Jul-25,Date Lost,98198 98198,,WA,98198,"Description: Charlie is a brown/orange tabby and tortie mix. She has quite a bit of orange in her fur at this time of year. Her eyes are green and yellow. She’s very sweet, but shy. She may come when you call her. She has a faded pink breakaway collar with her name and my phone number. Last seen early in the morning on 7/4. <p/>Age: Over 1 year<p/>Location Lost: Gary St and Wood Ave, Sumner WA  98390<p/>Lost Date: 2025-07-04<p/>",Cat,Domestic Shorthair,731635
LOST,LOST,Charlie,Over 1 year<p/>,Female,Unknown,4-Jul-25,Date Lost,98198 98198,,WA,98198,"Description: Charlie is a brown/orange tabby and tortie mix. She has quite a bit of orange in her fur at this time of year. Her eyes are green and yellow. She’s very sweet, but shy. She may come when you call her. She has a faded pink breakaway collar with her name and my phone number. Last seen early in the morning on 7/4. <p/>Age: Over 1 year<p/>Location Lost: Gary St and Wood Ave, Sumner WA  98390<p/>Lost Date: 2025-07-04<p/>",Cat,Domestic Shorthair,731637
LOST,LOST,Lucky,Over 1 year<p/>,Female,Brown,5-Jul-25,Date Lost,11300 block of  SE 214th St,Kent,WA,98031,"Description: Tabby with a hint of yellow. Under 12lbs. Chipped.<p/>Age: Over 1 year<p/>Location Lost: 11300 Southeast 214th Street, Kent WA  98031<p/>Lost Date: 2025-07-05<p/>",Cat,Domestic Shorthair,731650
LOST,LOST,Nori Vy,Over 1 year<p/>,Male,Brown,8-Jul-25,Date Lost,24900 block of  SE 40TH DR,Sammamish,WA,98029,"Description: brownish black tabby with black spots. black nose. greenish eyes. 13-14lbs. very friendly <p/>Age: Over 1 year<p/>Location Lost: 24917 SE 40th Dr, Issaquah WA  98029<p/>Lost Date: 2025-07-08<p/>",Cat,Savannah,731659
LOST,LOST,Sully,Over 1 year<p/>,Male,Unknown,4-Jul-25,Date Lost,262ND  ST AND CENTRAL KENT WA,,WA,,"Description: he's a medium  lab and Dalmatian mix, white and light tan , red. He's 18 years old and has hip problems. we have never been seperated.  He is micro chipped and has all his shots.<p/>Age: Over 1 year<p/>Location Lost:  262nd St and Central Kent wa, Kent WA  98032<p/>Lost Date: 2025-07-04<p/>",Dog,Labrador Retriever,731660
LOST,LOST,Beezle,Under 1 year<p/>,Male,Black,6-Jul-25,Date Lost,98038 98038,,WA,98038,"Description: Black cat with long fluffy tail and grey patches on his belly. Green eyes. Friendly and food motivated.<p/>Age: Under 1 year<p/>Location Lost: Se 271st Pl and 228th Pl Se, Maple Valley WA  98038<p/>Lost Date: 2025-07-06<p/>",Cat,Domestic Longhair,731664
FOUND,In Public Home,Otis,Over 1 year<p/>,Neutered Male,Black / Tan,5-Jul-25,Date Found,S  160th St & Slade Way,Tukwila,WA,98188,"Description: Looks like a Miniature Pinscher or a mix or sure. Small around 6-14lb black and tan with greying<p/>Age: Over 1 year<p/>Found Near: S 160th ST and Slade way, Seattle WA  98188<p/>Found Date: 2025-07-05<p/>",Dog,Chihuahua - Smooth Coated,731673
FOUND,In Public Home,Stray Cat,Over 1 year<p/>,Female,Unknown,9-Jul-25,Date Found,300 block of  S St SE,Auburn,WA,98002,"Description: Stray tortoiseshell cat presented by Good Samaritan to vet hospital in medical distress, euthanized on emergency basis. No microchip Found.<p/>Age: Over 1 year<p/>Found Near: 172nd Ave SE, Kent WA  98042<p/>Found Date: 2025-07-09<p/>",Cat,Domestic Shorthair,731699
FOUND,In Public Home,,Over 1 year<p/>,Male,Unknown,1-Jul-25,Date Found,S  160th St & Slade Way,Tukwila,WA,98188,"Description: A rooster and a small dog have been abandoned by our neighbor. The property had people working there and a child about a month ago, the chickens. I have not seen the hen in two weeks, but the rooster is around and coming for food around, and landowner would have known these animals safety is at risk. I have been feeding the rooster and hen, also a small dog came from here.<p/>Age: Over 1 year<p/>Found Near: S 160th ST and Slade way, Seattle WA  98188<p/>Found Date: 2025-07-01<p/>",Bird,,731705
LOST,LOST,Bun,Over 1 year<p/>,Female,Brown,6-Jul-25,Date Lost,20400 block of  105TH PL SE,Kent,WA,98031,"Description: Yellow/brown curly fur with white under belly<p/>Age: Over 1 year<p/>Location Lost: 20437 105th Pl SE, Kent WA  98031<p/>Lost Date: 2025-07-06<p/>",Dog,Miniature Poodle,731707
LOST,LOST,Buddha,Over 1 year<p/>,Male,Unknown,9-Jul-25,Date Lost,DELRIDGEWAY  SW AND SW JUNEAU ST,,WA,,"<p/>Age: Over 1 year<p/>Location Lost: Delridgeway Sw and SW Juneau st, Seattle WA  98106<p/>Lost Date: 2025-07-09<p/>",Cat,American Shorthair,731708
LOST,LOST,Bacca,Over 1 year<p/>,Male,Black,9-Jul-25,Date Lost,3800 block of  NE 155th Pl,Lake Forest Park,WA,98155,"Description: Black / green eyes<p/>Age: Over 1 year<p/>Location Lost: 3825 ne 155 th pl, Seattle WA  98155<p/>Lost Date: 2025-07-09<p/>",Cat,Siamese,731727
LOST,LOST,Ryuk,Over 1 year<p/>,Male,Black,8-Jul-25,Date Lost,SE  208TH & BENSON,,WA,,"Description: Grey fluffy long haired male cat, adopted from Reber Ranch. 3 years old, spayed. <p/>Age: Over 1 year<p/>Location Lost: SE 208th & Benson , Kent WA  98031<p/>Lost Date: 2025-07-08<p/>",Cat,Domestic Longhair,731730
LOST,LOST,Bacca,Over 1 year<p/>,Male,Black,9-Jul-25,Date Lost,3800 block of  NE 155th Pl,Lake Forest Park,WA,98155,"Description: Black / green eyes<p/>Age: Over 1 year<p/>Location Lost: 3825 ne 155 th pl, Seattle WA  98155<p/>Lost Date: 2025-07-09<p/>",Cat,Siamese,731739
LOST,LOST,Bacca,Over 1 year<p/>,Male,Black,9-Jul-25,Date Lost,3800 block of  NE 155th Pl,Lake Forest Park,WA,98155,"Description: Black / green eyes<p/>Age: Over 1 year<p/>Location Lost: 3825 ne 155 th pl, Seattle WA  98155<p/>Lost Date: 2025-07-09<p/>",Cat,Siamese,731740
LOST,LOST,Tofu,Over 1 year<p/>,Male,Unknown,7-Jul-25,Date Lost,MILITARY  RD AND ENCHANTED PARKWAY,,WA,,"Description: Tofu is grey and white. Very friendly. Has full claws. Large, about 14lbs<p/>Age: Over 1 year<p/>Location Lost: Military Rd and Enchanted Parkway, Auburn WA  98001<p/>Lost Date: 2025-07-07<p/>",Cat,Norwegian Forest Cat,731741
LOST,LOST,Grace,Over 1 year<p/>,Female,White,3-Jul-25,Date Lost,1000 block of  SW 150TH ST,Burien,WA,98166,"Description: She is 14 and is missing significant teeth so her Jaw is relaxed and her tongue hangs out. Pinkish nose with spots. White with pinkish legs where she licks. She is going blind and deaf. <p/>Age: Over 1 year<p/>Location Lost: 1011 SW 150 ST, Seattle WA  98166<p/>Lost Date: 2025-07-03<p/>",Dog,Chihuahua - Smooth Coated,731745
LOST,LOST,Muffin,Over 1 year<p/>,Female,Unknown,8-Jul-25,Date Lost,S  375TH STREET & 19TH PLACE S,FEDERAL WAY,WA,98003,"Description: Dark grey with green eyes, 9 years old and 9lbs. <p/>Age: Over 1 year<p/>Location Lost: 375th and 19th street, Federal Way, WA, Federal Way WA  98003<p/>Lost Date: Jul  8 202<p/>",Cat,American Shorthair,731750
LOST,LOST,Snow,Over 1 year<p/>,Male,White,9-Jul-25,Date Lost,2900 block of  S 144TH ST,SeaTac,WA,98168,"<p/>Age: Over 1 year<p/>Location Lost: 2904 s 144th st, Seattle WA  98168<p/>Lost Date: 2025-07-09<p/>",Dog,Siberian Husky,731751
LOST,LOST,,Over 1 year<p/>,Male,Black,9-Jul-25,Date Lost,100 block of  N St NE,Auburn,WA,98002,"Description: Bobtailed cat<p/>Age: Over 1 year<p/>Location Lost: 172nd ave ne, Redmond WA  98052<p/>Lost Date: 2025-07-09<p/>",Cat,Japanese Bobtail,731754
LOST,LOST,Neeka Brown,Over 1 year<p/>,Female,Unknown,8-Jul-25,Date Lost,S  204th St & 32nd Pl S,SeaTac,WA,98198,"<p/>Age: Over 1 year<p/>Location Lost: 204th St and 32nd Pl S , Seattle WA  98198<p/>Lost Date: 2025-07-08<p/>",Cat,Domestic Shorthair,731755
LOST,LOST,Mr. Bean,Over 1 year<p/>,Male,Unknown,3-Jul-25,Date Lost,50TH  AVE E,112TH,WA,,"Description: A Large boy who is very sweet with a docile and friendly temperament. Gold coat with black spots covering body and belly, white around mouth, green eyes. <p/>Age: Over 1 year<p/>Location Lost: 50th ave e, 112th st e , Tacoma WA  98446<p/>Lost Date: 2025-07-03<p/>",Cat,Bengal,731759
FOUND,In Public Home,,Over 1 year<p/>,Female,Unknown,10-Jul-25,Date Found,98042 98042,,WA,98042,"Description: 2 husky/malamute dogs one large one small<p/>Age: Over 1 year<p/>Found Near: 190th Pl SE and 184th, Kent WA  98042<p/>Found Date: 2025-07-10<p/>",Dog,Alaskan Malamute,731797
FOUND,Paws,,1 YEAR 6 MONTHS,Female,Tortie,10-Jul-25,Received on,17500 block of  15TH AVE NE,SHORELINE,WA,98155,Received on: 2025-07-10<p/> Found Near: 17500 block of  15TH AVE NE<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: 1 YEAR 6 MONTHS<p/> Current Location: Paws<p/>,Cat,Domestic Shorthair,731801
FOUND,Paws,,2 YEARS,Female,Tortie,10-Jul-25,Received on,17500 block of  15TH AVE NE,SHORELINE,WA,98155,Received on: 2025-07-10<p/> Found Near: 17500 block of  15TH AVE NE<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: Paws<p/>,Cat,Domestic Shorthair,731802
FOUND,Paws,,NO AGE,Female,Tortie,10-Jul-25,Received on,17500 block of  15TH AVE NE,SHORELINE,WA,98155,Received on: 2025-07-10<p/> Found Near: 17500 block of  15TH AVE NE<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: Paws<p/>,Cat,Domestic Shorthair,731803
FOUND,Paws,,2 YEARS,Male,Orange,10-Jul-25,Received on,17500 block of  15TH AVE NE,SHORELINE,WA,98155,Received on: 2025-07-10<p/> Found Near: 17500 block of  15TH AVE NE<p/> Description: Orange Male Domestic Mediumhair Cat<p/> Age: 2 YEARS<p/> Current Location: Paws<p/>,Cat,Domestic Mediumhair,731804
FOUND,Paws,,12 WEEKS,Female,Black / White,10-Jul-25,Received on,17500 block of  15TH AVE NE,SHORELINE,WA,98155,Received on: 2025-07-10<p/> Found Near: 17500 block of  15TH AVE NE<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 12 WEEKS<p/> Current Location: Paws<p/>,Cat,Domestic Shorthair,731805
FOUND,Paws,,12 WEEKS,Female,Tortie,10-Jul-25,Received on,17500 block of  15TH AVE NE,SHORELINE,WA,98155,Received on: 2025-07-10<p/> Found Near: 17500 block of  15TH AVE NE<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: 12 WEEKS<p/> Current Location: Paws<p/>,Cat,Domestic Shorthair,731807
